poi ville code_postale code_insee region code_departement departement latitude longitude createur_donnée fournisseur id_poi photo categorie_mere sous_categorie
"TOURNOI SPECIAL MOYEN AGE" 9 88800 88516 "Grand Est" 88 Vosges 48.205605 5.946167 "DESTINATION VITTEL-CONTREXEVILLE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/cc362e86-1d8b-32e8-bbd9-a243332b9e91 False Produit Pratique
"TOURNOI DE JEUX VIDÉOS : LES JEUX DU STADE AU THEATRE GERARD PHILIPE" 252 54390 54215 "Grand Est" 54 Meurthe-et-Moselle 48.760139 6.12932 "TOURISME BASSIN de POMPEY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/d3c4d9e5-8ffd-3204-8405-0fa39059668d False Produit Pratique
"ATELIER ILLUSTRATION" 71 57100 57672 "Grand Est" 57 Moselle 49.359188 6.161035 "PAYS THIONVILLOIS TOURISME" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/d513a32c-df7f-3606-8fc9-7ccc6bf83676 False Produit Pratique
"VISITE GUIDÉE DE METZ - SUR LES TRACES DU GRAOULLY" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/d6a8316a-a4a0-3627-a4a2-dbd811e15527 False Produit Visite
"SAINT-VALENTIN - VISITE HISTOIRE(S) D'AMOUR" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.697016 6.180909 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/da0712ff-8141-376b-83f9-7c9079209b47 False Produit Visite
"SIESTE MUSICALE 'MOYEN AGE'" 9 88800 88516 "Grand Est" 88 Vosges 48.205541 5.946157 "DESTINATION VITTEL-CONTREXEVILLE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/db5da3d3-db07-3b35-9e0a-d76397fb9772 False Produit Pratique
"ATELIER MANGEOIRE À OISEAUX" 5 55100 55545 "Grand Est" 55 Meuse 49.161799 5.388328 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/de081e6f-d513-34ec-b0cb-ca70e646113d True Produit Pratique
"ATELIERS DES PETITS LIGIER" 85 55000 55029 "Grand Est" 55 Meuse 48.771623 5.157296 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/e2283224-cd95-33bf-903b-5284c6c91a5d False Produit Pratique
"VISITE GUIDÉE DE METZ - LES HISTOIRES D'AMOUR À METZ" 13 57000 57463 "Grand Est" 57 Moselle 49.120219 6.17653 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/e7aa1ce8-898f-3d19-8013-d716f2f0eb4e False Produit Visite
"ATELIER DU MUSÉE POUR LES ENFANTS" 11 57400 57630 "Grand Est" 57 Moselle 48.734929 7.055604 "TOURISME SARREBOURG MOSELLE SUD - SITE SARREBOURG" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/f2b4325d-531a-39a7-96fc-fa618f52cf8e False Produit Pratique
